label,text
work-ce48c33a-2ad8-47a1-b1ff-ce42f75fc3b0,"Kappaleet, piano, op4"
work-2283fb34-a89c-4715-8089-f156f6e1b762,Aallon kehtolaulu
work-cb437cb0-6fb0-4d44-8452-751acdc04b28,Åbo slott
work-eca94473-699f-46f8-87fe-9cc5d9bf5513,Ajan aallot
work-eca94473-699f-46f8-87fe-9cc5d9bf5513,Rajamailla
work-66128cc9-07ad-4509-b9c0-5bab19828b2e,Am stillen Dorfe erhebt sich
work-50827b4b-4726-4f94-8d3b-0ea8272eaff4,"Andante, jousiorkesteri"
work-50827b4b-4726-4f94-8d3b-0ea8272eaff4,"Andante, jousiork."
work-3b097923-dfef-4885-8458-7ec2c12fa2e4,Andre beten zur Madonna
work-8d138f62-875e-43aa-82ff-472616d66963,Anni
work-db4c0908-4ce5-4670-9238-029e69dfea0b,Armahan kulku
work-62aa78b8-4c09-4adc-aa00-ea12237c4956,Armasta odottaessa
work-35b1e712-39c0-4292-8d5e-fba3747f9f1b,"Berceuset, orkesteri"
work-35b1e712-39c0-4292-8d5e-fba3747f9f1b,"Berceuset, kamariork."
work-abc3e808-ab46-4c01-b318-d00578b1f514,Betlehems stjärna
work-c0bb6f15-7f01-4878-9c61-0b00c0d72e99,Bröllopsmarsch
work-c0bb6f15-7f01-4878-9c61-0b00c0d72e99,Häämarssi
work-c0bb6f15-7f01-4878-9c61-0b00c0d72e99,Hääsoitto
work-f8ae42f7-35a0-4dc8-a632-c441d9858f64,Carmen
work-3bce4f40-e064-48bf-99a6-5d7362825c47,Carmen Careliense
work-3bce4f40-e064-48bf-99a6-5d7362825c47,Joensuu-kantaatti
work-1004bc8f-55b5-430b-b8bb-6ff127610a95,En dockvisa
work-64762ab1-6d32-4d43-a39b-e7b777412a93,Die Drei
work-6b531302-e3b1-459f-bbb6-2198e4701392,En drömmares sång till livet
work-4996fd7a-676e-4fa1-adbb-9cf90fe164fd,Du
work-26522932-6cc7-4a19-b98e-90bb198598b5,"Du är sol, du är vår"
work-49002e67-8524-47b3-b88d-633aa6d75754,Die Du bist so schön und rein
work-884f057f-2b36-411b-b52c-50d46969803f,Du hast Diamanten und Perlen
work-e356c364-f35b-4db5-82cf-ca2d56ad6e40,Dvärgens hämd
work-be5cac31-1afa-4862-81b3-be1a05eb3772,Einsam schreitend wandl' ich
work-fe639e91-7923-4202-8197-b215075b7c9b,Elämän laulu
work-4e9ca920-d421-4308-bac9-69cc52f27178,Fågeln
work-af2aeb42-2369-48e3-bc85-a1007e702e6c,Fåglarna
work-d1d8ec6b-d0e1-481c-92be-b0b8088430b5,Farväl
work-f0ddd7e7-f4b2-48df-89b1-9aa7a3f05079,Den flydda
work-1cbce381-248f-42f4-ac70-304f082b52b3,Den flygande holländaren
work-803ba36f-dec9-4d92-a09e-9657e2a9e322,Gute Ruhe
work-307d996a-9433-48b8-a96e-220097cbf227,"Heimathklang, lauluääni, piano"
work-307d996a-9433-48b8-a96e-220097cbf227,Heimathklang
work-b7b8e211-1599-4fa1-92ea-599afe15ef9e,"Heimathklang, orkesteri"
work-b7b8e211-1599-4fa1-92ea-599afe15ef9e,Kotimaan kaikuja
work-b7b8e211-1599-4fa1-92ea-599afe15ef9e,Kotimaan sävel
work-b7b8e211-1599-4fa1-92ea-599afe15ef9e,Kotiseudun kaikuja
work-90704812-9c60-4167-b713-cc3cb6937594,Hör ich das Liedchen klingen
work-4ba9b2bd-6e04-440a-b848-d8eabfe72e79,Hyljätyn valitus
work-1926a32a-8a53-455c-a272-f6c19209dfb7,I solnedgången
work-29163230-13ab-4860-8738-f819fe09b32f,Ich stand in dunkeln Träumen
work-e1dd9b1d-f783-4834-8c4a-18e045956ba9,Ich wollte meine Lieder
work-9ea0f8ad-ed87-43fd-bf23-f678a0b52b3a,Im Vaters Garten heimlich steht
work-5a3683be-993b-4fde-a7f2-b482edef671d,Isänmaan kasvot (kantaatti)
work-5a3683be-993b-4fde-a7f2-b482edef671d,"Isänmaan kasvot, kantaatti"
work-d684f311-c898-42c4-a8f6-99c3fb372458,Isänmaan kasvot (laulu)
work-d684f311-c898-42c4-a8f6-99c3fb372458,Isänmaan kasvot
work-ef6b6479-84a4-44b1-9e5e-d392058ba559,Jes siunatkoon
work-fa03a651-16cf-41f4-9642-5bfafab026d5,Juhla-alkusoitto
work-a1294b4d-f9f3-42a6-b734-43fc5cf472b9,Juhlakaikuja
work-0566820c-7258-4aa0-ad5b-de712083a802,Kaiholle
work-8d2403f6-ce61-4daa-9399-9b8a94cd6968,Kallan kuoron lippulaulu
work-9159dcf6-78dd-4791-a5bf-0a1a06257a2f,Kallan ranta
work-9159dcf6-78dd-4791-a5bf-0a1a06257a2f,Kallanranta-kantaatti
work-a11c7a29-d305-4f56-b22b-faf874e8a3fa,Kantat vid St. Joh. Logens 175 årsjubileum
work-b637a13f-a287-4cca-9939-19f4acfc5fed,Kanteleelle
work-055f9f0d-d185-40a9-b787-93c79dac65b8,Kanteletar
work-d6294df5-da3a-414b-a8cd-36e85e09dc41,Karhunlaulu
work-508271f4-3ab0-4a2a-b121-ec595ae12e18,"Kehtolaulu (Hiljaa, hiljaa! ilta on)"
work-4ce98cd6-fd1f-41d1-83f7-af6d520a8643,"Kehtolaulu (Liekku liiku, kätkyt kiiku)"
work-467810d4-25d5-4634-a1c4-aa4f78834f6d,Kesäilta
work-46f0b1f5-cd10-4c4c-b006-3fc9387d8fd7,Kesäyö
work-d0c6bd65-4c92-492b-8ee1-7c8af3acaf09,Kolme suomalaista kansanlaulua
work-d0c6bd65-4c92-492b-8ee1-7c8af3acaf09,Tre finske folkviser
work-3687cf59-b7ab-42be-a965-1ad6e06ace36,Korsholma
work-3687cf59-b7ab-42be-a965-1ad6e06ace36,Korsholm
work-1811deb0-384c-4e8a-ae0b-f0fd9b5b1460,Köyhä
work-da27adc1-0b51-4d22-8d48-c196dbb5c3f1,Kuopio-kantaatti
work-da27adc1-0b51-4d22-8d48-c196dbb5c3f1,Kuopio
work-b752dbb4-558b-4cc7-9b8a-d03e9c577453,Lapsuuden ajoilta
work-283e74f0-77d2-40df-8b90-fb06249a37cf,"Laula, laula"
work-0aac17ef-10c6-4946-a907-b62ee2e2e249,Laulajan koti
work-e2ae48c2-fab5-4693-af0f-76302e984ae0,Laulajapoika
work-03550f34-8947-4925-a8f5-0cdafa0893b0,Laulu tulipunaisesta kukasta
work-03550f34-8947-4925-a8f5-0cdafa0893b0,Sången om den eldröda blomman
work-fd0a6972-b045-4e3b-95f6-7f96cf77e7dc,Laulu Vuokselle
work-ce3db24a-42f2-46a7-9119-9978752753f7,Das Leben
work-9f587946-7a48-4b63-bc30-f9f1c2119874,Leivo
work-03efe84d-3fa8-462f-9b46-d6b3fbf0bcbc,Liebestraum
work-b8340081-b08c-491b-8f96-ffc21fc1f95c,Lina
work-7870c1f2-a7c8-41b5-ab29-b16eba9c69f9,Luvattu maa (näytelmämusiikki)
work-7870c1f2-a7c8-41b5-ab29-b16eba9c69f9,Det förlovade landet
work-7870c1f2-a7c8-41b5-ab29-b16eba9c69f9,Luvattu maa
work-dc55493d-863a-4d6b-8e6a-544be9870912,Luvattu maa (sarja)
work-dc55493d-863a-4d6b-8e6a-544be9870912,"Luvattu maa, sarja"
work-58c60ba8-60bd-490e-93a2-e6484c583a94,Lyyrinen alkusoitto
work-58c60ba8-60bd-490e-93a2-e6484c583a94,Overture Lyrique
work-5e4d00bc-11b0-4164-982c-a68e2e78e104,Mä lemmenkukan istutin
work-a26737c0-a497-4779-92e7-51f55f0def2b,Maamme
work-c6629c71-e735-44b8-a780-f16a3520c8eb,Maan sävel
work-1f20c9b4-b806-4399-a598-2879b7201ad8,Manch Bild vergessener Zeiten
work-ed9f2734-7fbc-4ab7-a619-b5bcc9f43c55,Matkalla
work-dfd0b070-e342-4e7a-b7dd-f8963a0d0f17,"Mein Liebchen, wir sassen beisammen"
work-56d61007-4fe8-4493-bd2c-9bc57de01aef,Metsäkyyhkyset
work-73ba478d-c5fe-464f-80cf-0b61b9394c7d,Milloin muistelet minua?
work-ba9a5b30-b4ab-47a0-a4f2-a5bc5bfe6cbf,Miranda
work-9352bb9e-fd48-40bf-ba78-c84fed003ac8,Monimorsiamellinen
work-f9a9a729-0846-4030-b38d-99e95e071c7d,"Muunnelmat, piano"
work-f9a9a729-0846-4030-b38d-99e95e071c7d,Variatioonia pianolle
work-f4134cf7-4330-4ffc-bb4a-738f6efb728a,Muut ne kuuli kirkonkellon
work-34e2ff34-b32d-4802-a3b3-2cafcfe8be5d,När alla klockor klämtat tolf
work-82861f89-d34a-4e02-8257-e58bed94efec,Nocturne
work-b2fc933b-144e-42dc-aa2b-ad53640215c9,"Nocturnet, piano"
work-abd3a207-1437-48e4-af33-3cbed82eb628,Normaalilyseon 50-vuotisriemujuhlakantaatti
work-cea78876-4b15-481c-83a2-a4db9d591b5c,"Nu har han kommit, den gyllne vår"
work-32980192-a5a4-40c9-87ef-51d8145c1f80,Nyt valitkaa!
work-2086ff3a-9b32-4b88-b462-19ee76b00c9e,"O, lüge nicht"
work-deaced24-ab04-4c40-ab14-268c60e652d7,Ödets stjärna
work-43df518b-d6f4-49d4-9c89-18be1fc03b27,Omenan kukat
work-3551edc1-c791-4d0c-8346-aecb151f0eb0,Onnelliset
work-96dc24f7-e543-4013-bd23-74f398647cbf,Onneni saari
work-36e07db8-e99d-421b-bcd5-7250fc4898f7,Orpo ja lintu
work-c4a77052-8630-4cbf-a65d-e46fca9e008a,På havet
work-c112aca7-b3c9-4062-9b6d-3ad0ffc0c91d,Pääskylle
work-aa713513-5bd7-4462-80c6-f151dbe412a6,Paimenen pyhä
work-21f010fb-0c3c-48ce-897f-081f185d00f0,Paimenten ilo
work-ebcf0651-24e0-4437-8c5a-4aa043c90921,Paista päivä paimenelle
work-70c55a95-92aa-47d6-8199-4472eab01ea5,Päivän poika
work-b452f7fc-95a7-4eb1-b870-937bb157a13f,Pieni laulu Maikille
work-7a39b38d-d0f0-444d-a99b-c8b003d89720,Pois meni merehen päivä
work-21ed6ea6-95f6-4573-962a-e2e72c085783,Preludio funèbre
work-af890f34-e5ef-4912-b4d3-ffbcb6de8285,Puhjetessa kukka puhtahin
work-56f84d24-e558-4d37-ac89-1b16a139e75d,"Romanssit, viulu, piano"
work-56f84d24-e558-4d37-ac89-1b16a139e75d,Romanze
work-1ab454c5-d9ae-491b-8c17-770f3e785522,Så brådtom har nu mammor små
work-524f296f-ee9f-4d73-8764-a7881a5130bf,"Sarjat, orkesteri (1895)"
work-524f296f-ee9f-4d73-8764-a7881a5130bf,"Sarjat, kamariork."
work-524f296f-ee9f-4d73-8764-a7881a5130bf,"Sarjat, orkesteri"
work-4f5abb46-44ac-49e8-9d76-4dd5dc08fd4b,"Sarjat, orkesteri, Es-duuri (1897)"
work-4f5abb46-44ac-49e8-9d76-4dd5dc08fd4b,Kleine Suite
work-4f5abb46-44ac-49e8-9d76-4dd5dc08fd4b,Pieni sarja
work-4f5abb46-44ac-49e8-9d76-4dd5dc08fd4b,"Sarjat, ork., Es-duuri"
work-4f5abb46-44ac-49e8-9d76-4dd5dc08fd4b,"Sarjat, orkesteri, Es-duuri"
work-f0c8bba9-4f91-467a-96aa-99b6d1d52a40,"Sarjat, viulu, piano, F-duuri"
work-1c09181e-e664-4c59-984e-b3f8b9e5bb3f,Satu
work-e216d734-ebd3-4596-a86a-986c3c65482d,Serenad
work-8fa53826-1919-4070-a0d2-306182c0ba7f,"Serenadit, orkesteri"
work-8fa53826-1919-4070-a0d2-306182c0ba7f,"Serenadit, ork."
work-cf009960-fcbf-4679-8be0-cfe1432232eb,Silloinpa kesä minulla
work-3b4e5168-e8d2-4a85-b7aa-72e182b06e6b,"Sinfoniat, D-duuri"
work-98350654-cacc-4750-9c28-06eeead0e5cb,Sinfoninen fantasia
work-a33e672a-ead4-4d25-8e45-84277c6ed566,Sirkka
work-ea129869-97f7-4677-a37d-edc08041617f,Skymning (När en gång)
work-c06ea8d1-1334-414f-a864-5d37770842e7,Skymning (Vad detta svala)
work-a5630ac0-eaa9-4d2e-b930-e00bddbeef15,Solsken
work-540a71c7-3658-4049-becf-1e1cd80d8608,Sondbyn laulu
work-b22f22f9-134f-4726-aeb2-19b9eb26f2d5,En spel- och dansvisa
work-4d398dd6-203a-4ae5-ad42-fd75531c178b,Ständchen
work-cf5095cc-2436-4733-8b74-d6e9912c2f7c,Sunnuntaina
work-58f1e149-0f7d-4ac8-b161-81d4afeafee8,Suomalainen rapsodia
work-197389b8-a022-41b1-990e-b8a64e99dad7,Suomen synty
work-77bb83dd-51f3-4406-bf98-887544c9872f,Suottako Suomi luottaa Luojaansa
work-c8abf587-e537-4ee6-b2c7-0654feab3eaa,Suuri salaisuus
work-93a29bc0-6d34-4737-b41a-236c9e4a88c9,Suvirannalla
work-7a194b78-bee8-42cb-b92f-5df1045c14f7,Svanen
work-57072835-4b19-4769-b899-15a331c26ade,Tanssin kulku
work-f589c217-01fa-410e-8f26-2328a59402f7,Temppelinrakentajat
work-6a3cd2e6-2744-4e62-9aab-216abaa7dddf,Till en brud
work-823b3db9-55e6-472e-98a4-5abb2ec8fee8,Titania
work-29cb33e8-8e09-41f3-8e60-82aa0fcad6e5,Titus
work-6cf523ef-d0f0-44a7-99c7-8bea24281558,Tohmajärven seurakunnan kirkonkellot
work-4d11e9da-6b9f-4500-8d0c-19bd85818cbf,Toivoni
work-026e9079-d90b-491d-a9de-f336e682b25d,Topografikunnan marssi
work-026e9079-d90b-491d-a9de-f336e682b25d,Topografkårens marsch
work-83ca165d-4b09-49e5-8441-3b88dcf75e1e,Tretton år
work-03c3f52c-4fc6-4d09-9ed0-19cf10fb284f,Und weil mich das Leben belogen
work-3a09a65c-7b95-4624-ae45-4e707b450f43,Unelma
work-a8528442-196e-4649-a1ca-38dfcc0abaec,Uusi kulta ja vanha kulta
work-1f5f59b0-6289-46b9-924e-f2f8b9265bc0,Vågsång
work-71e788e5-22e1-47ed-8269-ebc2687bbefc,Den vakande modern
work-de9b3e2f-1dc9-4d79-8e1f-5d6ab31c7137,Vårdroppen
work-cf290c72-f4e4-4629-ab19-58cfd66da332,Varpunen
work-e6aea33e-14aa-43ac-8e0e-74380bc80231,Vasti
work-e6aea33e-14aa-43ac-8e0e-74380bc80231,Valse lente
work-b59ae6dd-02d0-443e-941d-ed2aa7264882,Venehelle tuulta
work-ea0da36c-2336-44a3-9587-cbe94350b822,Venelaulu
work-ea0da36c-2336-44a3-9587-cbe94350b822,Wenelaulu
work-272e00d4-02f5-47c8-bdd1-8bce60a6e32a,Viel' ois virttä tieossani
work-272e00d4-02f5-47c8-bdd1-8bce60a6e32a,Viel' olis virttä tiedossani
work-76438440-ca85-40c3-a457-9ce8340b8ee1,Vill du komma med mig?
work-66b8ab3c-63e1-43df-8fcf-ec47bb838c5c,Virran rannalla
work-fae95808-f219-42f7-92fd-5b55a81ff379,En visa
work-55a0846a-8b64-4f83-bd63-068c8236f4b5,Vredens barn
work-b3bc20ef-5c1c-48c7-b6c7-80a10f6dd105,Wanderes Nachtlied